wp_post_id,name,price,lessons_count
2967, Курс «Пошив сумок из кожи. Базовый»,195,60
2967,Курс «Курс стиля и имиджа базовый»,195,45
2967, Курс «Дизайн одежды. Базовый»,268,90
2967,Курс «Базовый»,177,90
2967,Курс «Конструирование одежды»,152,75
2967,Курс «Пошив детской одежды. Базовый»,152,60
2978,Курс «Кулинария от А до Я»,1143,45
2978,"Курс «Сезон гриля, копчения и BBQ»",285,45
2978,Курс «Только мясо»,285,45
2978,Курс «Smart home culinary»,214,4
2978,Курс «Fish club. Рыба и морепродукты»,357,5
2978,Курс «Кондитер»,1357,30
2987,Ukrainian spirit курс,000,8
2987,Обучение барменов базовый уровень,000,24
2987,Бармен-официант на круизный лайнер,000,14
2987,Обучение Barista,000,2
2987,ADVANCED FLAIR,000,000
2991,Курс «Кинезиотейпинг»,000,2
2991,Курс «Французский пластический и лимфодренажный массаж лица»,000,2
2991, Курс «Гавайский массаж — Ломи Ломи»,00,2
2991,Курс «Антицеллюлитный массаж»,00,2
2991,Курс «Китайский скребковый массаж Гуа-ша»,000,2
2991,Курс «Психосоматический массаж»,000,2
2991,Курс «Базовый»,000,2
2991,Курс «Анатомия и физиология для массажистов»,000,2
2991,Курс «Японский массаж Шиацу»,000,2
2991,Курс «Тайский рефлекторный массаж стоп»,000,2
2994,Курс «Профессиональный массаж»,000,60
2994,Курс «Мастер детского массажа»,000,2
2994,Курс ««Массаж лица»,000,2
2994, Курс «Массажист-эксперт»,000,30
2994,Курс «Мануальное мышечное тестирование»,000,000
2994,Курс «Базовый курс массажа»,000,7
2994,Курс «Тейпирование и прикладная кинезиология»,000,60
2996,Курс «Основы кинезиотейпирования 1 уровень»,000,000
2996,Курс «Эрго Комбо 1 уровень»,000,000
2996,Курс «Японский терапевтический массаж»,000,000
2996,Курс «Основы тайского массажа ноад-боран. Александр Замороков»,000,000
2996,Курс «Экскюзивный массаж стоп в SPA и лечебной реабилитации»,000,000
2996,Курс «Холицистический массаж 3 уровень»,000,000
2996,Курс «Лимфосанация»,000,000
2996,Курс «Перцептивная остеопатия. Базовый уровень. Дмитрий Таль»,000,000
2996,Курс «Форминг лица. Александр Ермолаев»,000,000
2996,Курс «Практические тренинги INELDEA»,000,000
2996,"Курс «Основы диетологии, управление рационом 1 уровень»",000,000
2996,Курс «Гавайский массаж «Lomi Lomi. Traditional Old Style»»,000,000
2996, Курс «Холистический пульсационный массаж»,000,000
2996,Курс «Интраоральный антиэйдж массаж — массаж ротовой полости»,000,000
2996,Курс «3D массаж. Александр Ермолаев»,000,000
2996, Курс «Висцеральная терапия и рефлексотерапия в косметологии»,000,000
2996,Курс «Коррекция фигуры — 3 методики. Александр Моисеенко»,000,000
2998,Курсы массажа,000,000
3000,Дизайны гель-лаками	,00,6
3000,Наращивание и дизайн Акрил,000,6
3000,Наращивание и дизайн Гель,000,6
3000,Повышение Гель/Акрил,00,3
3000,Маникюр (мастер),00,7
3000,Педирюр (мастер),00,3
3000,Общий курс мастер  Маникюр/Педикюр,000,10
3000,Китайская роспись,000,3
3000,Художественная роспись,000,2
3000,Аэрография на ногтях,000,1
3000,Комби  Аппаратный маникюр +гель лак,000,3
3000,Курсы по индивидуальной программе,000,1
3003,Маникюр-педикюр,000,00
3003,Аппаратный маникюр-педикюр,000,00
3003,Комбинированный маникюр,000,00
3003,Моделирование искусственных ногтей гелем,000,00
3003,Художественная роспись,000,00
